id;id_provincia;nombre
86182016;22;EL EMPACHADO
86182011;22;CONCHAYOJ
86182009;22;COLONIA SIEGEL
86182007;22;CHILCAN
86182005;22;AZOGASTA
86182003;22;AMPA
86175094;22;LIMTON
86175093;22;TIO POZO
86175092;22;EL MSITOL
86175091;22;SAN PASCUAL
86175085;22;TRES JAZMINES
86175078;22;TACOYOJ
86175077;22;SUNCHO POZO
86175074;22;SHILLPI
86175056;22;PUESTITO
86175054;22;POZO MOSOJ
86175050;22;PERCHIL BAJO
86175049;22;PAMPA ATUN
86175044;22;MAJADA SUD
86175043;22;LOS GALLEGOS
86175038;22;LA BLANCA
86175034;22;GARCIANO
86175033;22;ESTACION TABOADA
86175032;22;ESTACION ROBLES
86175023;22;EL 25/KM25
86175022;22;DIASPA
86175020;22;COLONIA PINTO
86175018;22;CHEEJ
86175010;22;BREA POZO VIEJO
86175009;22;BREA POZO
86175007;22;BARRIAL ALTO
86175003;22;ATOJ POZO
86175002;22;ASHPA SINCHI
86168040;22;GUERRA
86168038;22;MISTOL POZO
86168037;22;YACU HURMANA
86168036;22;VERON
86168035;22;VARAS CHUCHUNA
86168034;22;TACO TOTORAYOJ
86168033;22;TACO ISLA
86168028;22;NUEVA LOMA
86168024;22;LA CENTELLA
86168021;22;EL CANDELARIO
86168020;22;CHIRA
86168019;22;CHAÑAR SINUCHAY
86168018;22;CARRETA PASO
86168017;22;CAMPOS DE CEJAS
86168016;22;VILLA SALAVINA
86168015;22;VACA HUMAN
86168014;22;SABAGASTA
86168013;22;RUBIA PASO
86168012;22;PUENTE DEL SALADILLO
86168009;22;MALOTA
86168008;22;LOS TELARES
86168004;22;CHILCA JULIANA
86168003;22;BORDO PAMPA
86168001;22;ANGA
86161035;22;VILLA ROBLES
86161032;22;SAUCE BAJADA
86161026;22;POZO SUMI
86161025;22;NUEVA INDUSTRIA
86161024;22;MORCILLO
86161023;22;MIRELLA
86161022;22;MILI
86161021;22;LOS ROMANOS
86161020;22;LOS PEREYRA
86161018;22;LOAJ
86161015;22;HIGUERA CHACRA
86161014;22;EL SOLER
86161013;22;EL REFUGIO
86161011;22;COLONIA JAIME
86161010;22;CHILCA
86161008;22;VILMER
86161007;22;VILLA HIPOLITA
86161005;22;INGENIERO FORRES
86161002;22;COLONIA EL SIMBOLAR
86161001;22;BELTRAN
86154024;22;DOS PROVINCIAS
86154023;22;LA HUANACA
86154021;22;SELVA
86154020;22;PALO NEGRO
86154019;22;NUEVA CERES
86154016;22;LOS PORONGOS
86154014;22;LOS ENCANTOS
86154010;22;LA ROMELIA
86154008;22;LA FEDERACION
86154004;22;COLONIA MACKINLAY
86154003;22;COLONIA LA VICTORIA
86154002;22;COLONIA ALPINA
86147072;22;TAQUELLO
86147071;22;YUTU YACO
86147070;22;TAUQUEYOJ
86147067;22;SOTELOS
86147066;22;SANTA FELIZA
86147061;22;PUESTO DEL RETIRO
86147059;22;POZO DEL ARBOLITO
86147058;22;PALMA REDONDA
86147056;22;LOS OVEJEROS
86147054;22;LOMA DEL MEDIO
86147051;22;LA DONOSA
86147049;22;KUENTI TACKO
86147048;22;GALEANO
86147047;22;EL SOBRANTE DE LA ISLA DE LOS CASTILLOS
86147045;22;DIQUE FRONTAL
86147044;22;CHARCO VIEJO
86147043;22;CHAÑAR POZO DEL MEDIO
86147042;22;CHAÑAR POZO DE ARRIBA
86147041;22;CHAÑAR POZO DE ABAJO
86147040;22;CHAÑAR POCITO
86147039;22;CASILLA DEL MEDIO
86147038;22;CAÑADA DEL MONTE
86147037;22;CAÑADA DE TALAPOZO
86147036;22;CAÑADA DE ROBLES
86147035;22;CAÑADA DE ACOSTA
86147034;22;BREA PUÑUNA
86147033;22;BAHOMA
86147032;22;ARAGONES
86147031;22;ABRITA GRANDE
86147030;22;VINARA
86147028;22;VILLA RIO HONDO
86147027;22;VILLA GIMENEZ
86147025;22;SOTELILLOS
86147022;22;POZUELOS
86147019;22;MANSUPA
86147018;22;LOS NUÑEZ
86147017;22;LOS MIRANDA
86147016;22;LEZCANOS
86147015;22;LAS TERMAS DE RIO HONDO
86147014;22;LAS CEJAS
86147012;22;LA NUEVA DONOSA
